id	text	HS	TR	AG
20062	ahora faltado respeto puedo decir fin fregar puta	1	1	1
20064	mandan mierda cultura violación mejores pantallas escoria puede hacer	0	0	0
20065	escenario describe acoso violación asesinos	0	0	0
20066	conferencia sectorial inmigración emigración reúne dentro hora primera vez 0 va año llegado patera costas región 0 ciudadanos argelinos	0	0	0
20067	callate ivan tonto pruebas hijo perra gente bucaram lasso baqueros oportunistas comieron ecuador repartian pedazos habia carreteras hospitales	0	0	0
20068	final champions league libertadores sudaca tour giro vuelta wimbledon super bowl	0	0	0
20069	puta sentenciada concha congreso mentiste cv justas terminaste primaria hagas santa hipocrita cuarta	1	1	1
20070	distingues violación acoso laboral metes mismo pack meten mano proponen trabajo ponen navaja cuello eliges si conveniente elección corre	0	0	0
20071	coño callados	0	0	0
20072	alguien puede avisar consigo teclado arabe	0	0	0
20073	jajajajajajjajajajajajajjaa ay dios mujer maldad voy aqui puta pavera	1	0	1
20074	cállate puta aprende hablar blanqueate hocico #exatlonmx	1	1	1
20075	mercedes vodafone lían polémica futbolista özil racismo alemania alemán ganamos inmigrante perdemos vía	0	0	0
20076	calmados amontonen pinches nacos frijoleros pikense culo	1	0	1
20077	conozca pego chicle cara ver si ves algún día bien	0	0	0
20078	#chiringuitokepa gilipollas roncero puta factoría	0	0	0
20079	matas mueves así lento siento recorrido presión coño alrededor polla acaricias pecho sientes respiración agitada voy correr nena	0	0	0
20080	moronegrada hundiendo país base d ser cobradores netos d pensiones teroristas robar violar traficar petar sistema penitenciario educativo judicial sanitario q importa 0 negro q dice ser ingeniero #nostomanporimbéciles	1	0	1
20081	esatua libertad mujer nescesitaba cabeza hueca hacer mirador	1	0	0
20082	comemela xddd cara 🤣🤣🤣🤣🤣 — pasemos	1	1	1
20083	cállate perra mierda culona	1	1	1
20084	peor luego lees simios deformados insinúan mujer malvada zorra muajajajaja fondo siento lastima seres	0	0	0
20085	jajajaja vos cállate puta	1	1	1
20086	callate bobo hijo puta bestia humana lacra asquerosa izquierdistas rateros mal paridos	0	0	0
20087	incompatible ser moromierda musulmono	1	0	1
20088	güero anotando pick +0 viva dinamarca carajo	0	0	0
20089	entiendo enseñarle polla cualquiera verdad encuentro	0	0	0
20090	obligan tragar polla mean cara	0	0	0
20091	mas saturado ver polla culo agujereado	0	0	0
20092	si acuerdo ningún hombre pasaría cabeza mujer puta subir fotos semi desnuda libertad respeto	0	0	0
20093	peor parte culpa destrucción venezuela hijo grandísima puta encima sigues siendo chavista malparido ahora valen arrepentimientos 0 años llevando palo pasando roncha ahorita	0	0	0
20094	bronceado 0 goals ido kebap hablado árabe misión cumplida	0	0	0
20095	sacaron justo l dia siguiente documental cierto excelente destapa cruda realidad inmigrante q quedamos vzla madurocdtm	0	0	0
20096	justificó violencia diputados diciendo provocar podes ser tan hijo puta marcos peña	0	0	0
20097	callate perra loca meterte louis metes barderas	1	1	1
20098	discuto sacar muela así cállate puta madre	0	0	0
20099	inventó alcohol feas gordas canis perdieran virginidad	1	0	0
20100	mujers inteligentes si hombres operado cambio sexo revés	1	0	0
20102	latinos dicen sudacas conquistados incivilizados cosas	1	0	1
20103	voy pintar pelo güero alfredo quiera	0	0	0
20104	inmigrantes muestran cara violenta peleas plena calle — pueblo ceuta	1	0	0
20105	ayer muriendo perra infección garganta hoy peló mejor	0	0	0
20106	amiga perra va mamar espaldas estupida	1	1	1
20107	joder cago puta robo raoul merecía joder #otgala0	0	0	0
20108	ganado pulso sido comedido musulmono piensa próxima vez dan mayor	1	0	1
20109	así hijo puta comiendo ñus vente vamos hablar	0	0	0
20110	#repost with get repost besos mezcal pa’ güero feliz viernes	0	0	0
20112	jajajajajaja multitasking hoy perra instagram emo twitter ridículas facebook divas whatsapp misma vez mezclar historias	1	0	1
20113	callate puta boca resentido proxima ves busquen vaselina queremos hijo	0	0	0
20114	0 desnudo siempre formado parte arte 0 arte super relativo 0 callate boca puta vez	0	0	0
20115	si maltratas animal sos hijo puta merecés vivir peor manera	0	0	0
20116	lastima callate zorra	1	1	1
20117	merecias ser ahogado hijo perra mildis	0	0	0
20118	antonio adán novia sevillista puta mas sevilla 0 real vía	1	1	1
20119	siempre hago aguante callate mña si perra	1	1	1
20120	procesos administrativos ser rápidos menores inmigrantes refugiades futuro eses menores juego día mañana si quieren trabajar seguirán papeles hombres terminarán trabajos irregulares mujeres prostitución	0	0	0
20121	buenos dias trabajar fabrica pagar refugiados demas gracias sánchez ser tan hijo puta	1	0	1
20122	mirna feministas celebrarle vestido mujer acoso ojo ahí #pautab	0	0	0
20123	habemos hombres acoso expresamos prejuicio sexista respuesta ganará aplausos likes bienpensantes ciertos pasajes representa extremo opuesto desastrosa columna caballero	0	0	0
20125	mujer bésame vez pertenecere siempre hombre ostia gracias advertencia	1	0	0
20126	ay cállate perra	1	1	1
20128	llamar mala puta mujer denominado poema satírico siento verdadero asco oír leer ver tipo ataques diario medios pro independentistas necesitamos nunca #ahorasicambio	0	0	0
20129	demuestra refugiados países guerra sino económicos q humano q das cuenta q si empiezan mentiras seguramente q busca invadir convivir	1	0	1
20130	0 años jugando play enseñaron bastante hijo remil puta	0	0	0
20131	llevamos 0 casos asilados violencia inmigrantes zona barcelona semana partir cuantos casos dejan considerarse aislados	1	0	1
20132	apartas tanga lado posas polla coño dejas caer despacio metiéndola entera placer da sentir aprieta coño recorrido baja nena	0	0	0
20133	callate perra hago quiero	1	1	1
20134	acaban aqui enseñar niño polla deberia decir pringado vida q unico q hecho vida indirectamente tener polla grande puto ascazo niño	0	0	0
20135	razón inmigrantes vienen imponernos costumbres	1	0	0
20136	creía jueguito solo existía árabes jajaja	0	0	0
20137	perra culpa	1	1	1
20139	acabo ver señora igualita lupita d’alessio dije omfg is dat leona dormida nomas señora güera	0	0	0
20140	jajjajaj cállate perra dijo cosa x	1	1	1
20141	orgullo sientoes inmenso sos único re mereces sos actorazo puta madre	0	0	0
20143	amigos respeto mas humor comparto publicidad tacos árabes mas ubicado camino viejo ventosa encontrara tacos árabes tacos orientales tacos bistec quesadillas tlayudas lt 0 lt 0 lt 0 deje probarlos	0	0	0
20144	policía británica permitió violación 0 0 niñas pobres parte árabes via	1	0	1
20145	vete tomar culo gilipollas felipe q puta mina cállate boca idea aquí españa sigue misma puta dictadura solamente adornada consumismo	0	0	0
20146	basura persona sorprende sudaca asi tercermundistas	1	1	1
20147	callate zorra dice damián jajajaja	1	1	1
20149	teñida orto dice cara artesanía prehispánica seguís siendo sudaca amigo podes irte alemania natal	1	1	1
20150	ceuta montaña simboliza ocurre ambos lados valla perfilada roca busto	0	0	0
20151	hoy toda escoria callada gustaría oírlos hablar #hdpasesinos	0	0	0
20152	aquí oficina atención racismo claro pásele pinche indio prieto sarrapastrozo ahorita atendemos primero pase güero	1	0	0
20153	simio fuenlabreño ver menudo tío puta madre mereces mejor mundo espero 0 vaya lujo empieces puerta grande	0	0	0
20154	callate mañana vemos perra	1	1	1
20155	voz eh movimiento semen	0	0	0
20156	pone mal verte mal sino vos puta madre mereces cielo quedes nube sola	0	0	0
20157	0 manteros saltaron valla ceuta día	0	0	0
20158	pedimos picada árabe 0 palabras 0 corazón feliz	0	0	0
20159	calles pesao aceptalo puta vez dejalo pasado pide disculpas conbio	0	0	0
20160	lucas callate lees dm nunca puta pario ahre	0	0	0
20163	cómo atraen güeras 🤤	0	0	0
20164	callate puta vemos hace meses ahora voy querés ver caes mal agustina	1	1	1
20165	gilipollas tocado libro historia puta vida vas listo saber hablas	0	0	0
20166	podría explicar brutismo caribeño subsahariano correlación extreme heat linked with reduced cognitive performance among young adults in non air conditioned buildings	1	0	0
20167	encantaria darte unas nalgadas ricas — encantaría pegarte hostia cara	0	0	0
20168	mujeres ven peliculas porno enteras creen final van casar	1	0	0
20169	andan llamando gata zorra puta baekhyun si hombre manga ridiculas	0	0	0
20170	chinguita hacer tamales refunfuña sirvienta diódora cállate van salir agrios digo bueno cuento ustedes fresitas universidad van saber hacer tamales	0	0	0
20171	gente insultando condenando asesino diana quer luego quitan importancia acoso violación maltrato mujer	0	0	0
20172	coño gran cantidad vídeos porno amateur bastante buscados verdad chicas normales gente imagina vecina amiga etc bueno ver habláis porno tal cir	0	0	0
20173	confundamos muchas mujeres posan victimas acoso solo mirada ridículas comparado sufrieron guerrilleras farc ejemplo	1	0	0
20174	venga si comemela xddd	0	0	0
20176	cállate puta katy perri xiniyos nunca mejor dicho	1	1	1
20177	ingles árabe	0	0	0
20178	jajajajajaja callate mica zorra	1	1	1
20179	mas imbécil dirás polla gente payasadas alves neymar	0	0	0
20180	si dios maldijo eva comió manzana imagínense va hacer entere andan borrachas putas fines semana lamentable	0	0	0
20181	tan evolucionados culturalmente recordais cualquiera cuales normas cívicas españoles negros árabes excepcion visto españoles poniendo pies asientos negros árabes bastantes	1	0	1
20182	ocho mañana callate echate dormir vez hablar puta espicha	0	0	0
20183	deseosos ayudar moromierdas llegan oleadas violar todas mujeres niños puedan oye si legaliza mejor eh problema nunca pasa hijos nietos lastima	1	0	1
20184	director general guardia civil recorrerá tarde valla asaltada ceuta buenas horas mangas verdes	0	0	0
20185	zorra amiga jajajajajajajaja	0	0	0
20186	odiame ero mirarte espejo recuerda agil atractiva puta cerda	1	1	1
20187	hijos puta van luchar violencia ejercen mujeres troncho puta gracia	0	0	0
20189	si nazi hijo puta	0	0	0
20190	malo tema acosos sexual da lados… simple… abuso físico violación coacción delito… coqueteo insistente torpe caballerosidad agresión machista… exageración sensacionalista hoy	0	0	0
20191	ice da gran prioridad lucha inmigración ilegal incluyendo búsqueda extranjeros #indocumentados antecedentes penales presentan amenaza seguridad pública	0	0	0
20192	queria charlar feminista siempre victima habla algun abuso acoso violacion sufrio cues — complicado pasando mismo viejo ex acusando cosas s	0	0	0
20193	regreso trabajo cancha univisión deportes américa vs veracruz acabó melena güera ahí escuchamos hermanos	0	0	0
20194	q persona indicada momentos mereces sos hermano hijo mil puta ahi t hablo	0	0	0
20195	hablemos paliza turista americano manteros subsaharianos entran echando cal viva guardia civil mejor volvemos franco malo evitó muchas checas gulags si llega levantarse anárquica españa #l0nveranofranco	1	0	1
20196	callate vos rollos che puta	1	1	1
20197	quieroite lomito arabe com salsa ajo	0	0	0
20198	introducción discursos disculpa acusados acoso sexual año	0	0	0
20199	país hacer puñetera vez ilegal papeles deportado país vez vale buenismo ayudas inmigrantes propios españoles	1	0	1
20200	llegarán masa cartagena gobernantes depende dar verdadera solución natural #camposdeautogestión refugiados dar paso invasión toda regla calles confrontación social extremistas	1	0	1
20201	chica dijo gustaron chistes acoso violación video rubén contestaban fans	0	0	0
20202	zorra queda callada sabe combo puro power	1	1	1
20203	comemela hso si cojemos ahi nomas pasa ahre	0	0	0
20204	cállate clava visto sos vos zorra	1	1	1
20205	comemela lindo jajaja	0	0	0
20206	subsaharianos negros sepa sudán níger sáhara #fronterasseguras	1	0	0
20207	inmigrante queja inmigrante queja inmigrante así infinito	0	0	0
20208	puedo tener respeto mundo esque puta voz des mereces entenderlo respeto respeto	0	0	0
20209	asesinato hace nombre antifascismo imbeciles hacen escoria crezca	0	0	0
20211	cállate zorra priista	1	1	1
20212	mira futuro busca trabajos quieran mereces puta mierda trato	0	0	0
20214	transparencia venezuela indocumentado pasa reposero chocador autobuses metro manejar política económica país hugo chávez destruido resultado vzla completamente destruida	1	1	1
20215	ultra pendeja ciudadano común teatro bajo pelotudis esposelo 0 horas calabozo vago indocumentado	1	1	1
20216	brigada humanitaria lleva agua inmigrantes cruzan desierto	0	0	0
20217	muchas personas creen q mujer abusada acosada ir descubierta visto acoso mujeres contrario mujeres cuya religión creencias acosadas demuestra q standard tácito d mujer q espera cubierto	0	0	0
20218	jackie hyde merecian juntos puta madre quiero romper	0	0	0
20219	reino unido cero cristianos 0 0 sirios refugiados reubicados esd pais va año 0 solo reibicaron 0 clara predisposición favor supremacistas fundamentalistas islámicos absurdo suicida	1	0	1
20220	bueno puta arrastrada laidy gómez cargó guanipa tachó divisionista vía	1	1	1
20221	peor insulto ocurre mujer puta peor ser violador asesino siendo putas sólo perdemos ahí machismo cultural eh q racista q amigo negro	0	0	0
20222	árbol silencio pende fruto seguridad proverbio árabe	0	0	0
20223	nico novia perra	1	1	1
20224	flipando diciendo chico padre pegaba insultaba madre dos denuncias violencia género órdenes alejamiento puso decirme jamás pensaría mujer razón si pasó árabe	1	0	0
20225	acoso sexual empieza destaparse industria musical poderoso magnate acusado violación varias	0	0	0
20226	haciendo check in muchacha emiratos árabes tatuaje árabe pensando pa dentro dios alá significado quería tal palabra rara árabe dice inglés	0	0	0
20227	puedo dice canción ‘ perra amiga’ perra ládrame	1	1	1
20228	mañas zorra	1	1	1
20229	deja provocarme maldita perra	1	1	1
20230	joder nagore cállate puta vez pesada cojones ay dios odio tan tonta diooos espero denuncie vaya cárcel nagore vete llorar deluxe nariz #myhyv	0	0	0
20231	pregunta izquierda nota si abrimos fronteras indiscriminadamente control inmigrante agrede mujer inmigrante relación sentimental cómo localiza citarle juicio después agresión	1	0	0
20233	cuza calle mujer inteligente tortuga vieja tortuga vieja mujeres inteligentes existen	1	0	0
20234	imbecil ves haces reir nadie jala bolas callete quedate muerto escoria	0	0	0
20235	cómo follas perra olvidas nombre 0 bebé gusta inglés podrías enseñarme	1	0	1
20236	educación sexual aprender mujeres polla existen víctimas violacion violan hombres pollas	0	0	0
20237	cómo supero arabe	0	0	0
20238	temon árabe	0	0	0
20239	estudiante sueca elin ersson impide deportación solicitante asilo afgano	0	0	0
20240	mierda mierda solo mierda viene áfrica único sitio recoger toda basura musulmono africana	1	0	1
20242	cállate puta zorra borracha drogadictaaa	1	1	1
20243	hola hc hinata mitad irlandés tsukki mitad franchute yamaguchi mitad latino gt gt gt i m in drugs	0	0	0
20244	flacos vienen decir si novia zorra problema ustedes mio	1	0	1
20245	callate puta	1	1	1
20246	falsa portada falsa revista dice pop singer puta imaginación inventarse nombre rimara britney spears linsdsay steers whitney beers shitney shits	0	0	0
20247	msdossary campeón mundo fifa 0 stefano pinna pudo hacer árabe resultado totalmente merecido #fifaeworldcup	0	0	0
20248	actor pudo ser gran #aquaman güero universo extendido dc checa video entérate opciones	0	0	0
20249	noo callate perra buscando poder dormir jajaj	1	1	1
20250	refugiados aquarius obligaron violar menores animales meses final racistas esclavistas africanos solucionar problema situ si mafias ganan vía	1	0	1
20251	racismo creen hermana güera	1	0	0
20252	si sosa busca provocar consigue zorra	1	1	1
20253	igual posta odio pies capaz tenes pie feo jodes apoyandomelo cara pego hachazo	0	0	0
20254	residentes emiratos árabes aseguran luchar llegar fin mes	0	0	0
20256	cállate perra mal parida juan kim hables	1	1	1
20257	i liked video francisco tárrega capricho árabe	0	0	0
20258	primero hace sanchez dar mas cobertura mas medidas inmigración ilegal enseñanza árabe bajada tiempopara nacionalizarse mirar lado cada dia mas agresivos manteros etc	1	1	0
20259	asaltaron valla ceuta lanza llamas cal viva victimas	1	0	0
20260	―confundes reina zorra pf cállate arranque peluca	0	0	0
20261	mereces quedarte crees si mujer quiero llamaran puta iba levantar ademas mas da trabajo vamos ver cobarde mierda tio decepcion mas vale quedarte	0	0	0
20262	puta gilipollez alarmarse asi enserio malo desnuda enseñar revuelo puedes poner ropa pj si molesta verle desnudo poquito logica	0	0	0
20263	lindo poder escuchar música árabe alguien gusta	0	0	0
20264	hables escoria aunque malos	0	0	0
20266	mereces q esfuerce poner #puta coma q ahogues leer #bastardo	0	0	0
20267	bobo hijo perra usted cree va enseñarle messi llega aprender grande	0	0	0
20268	comemela mamon xdddd	0	0	0
20269	mina bastante puta onda novia	1	1	1
20270	voy viaje tíos papá solo hablan árabe	0	0	0
20271	hola traedruffles novia puta acabo pasar tekken casemiro reídme gracias favor	1	1	1
20272	desbloqueme dale zorrita sabes cagué palo puta merecías cagada palo escuchar calle	1	1	1
20273	mio puta callas cabron	0	0	0
20274	gusta machin pelo largo güero	0	0	0
20275	tells my grandma and daniel are fighting ayyyyy pobrecito hijo perra desgraciada	1	1	1
20276	mereces x bailar conmigo ayer pedazo fe puta	1	1	1
20277	puedes papel ser santana requiere ser perra nacimiento demasiado quinn fabray decir mosquita muerta	1	1	1
20278	jajajajajaj imbecil tremeno acoso tuiti pobre ajajajjaa + 0	0	0	0
20279	sigue peligrosisima tendencia integrista anti arabe netanyahu silencio complice mayoria israeli usa miles protestaron judío multitudinaria manifestación israel decreto netanyahu vía	0	0	0
20280	buey feliz país gabacho anaya extranjero quieren gobernar	0	0	0
20281	refugiados si inmigrantes necesarios realmente podamos atender pienso españa sólo debería acoger forma ordenada inmigrantes latinoamericanos habla española cristianos	1	0	0
20282	callate ve perfecta perra	1	1	1
20283	callate hijo da puta	0	0	0
20284	retweeted silla rota atendía sexualmente 0 hombres día policías militares #historia güera #video	0	0	0
20285	abusaba zorra merecía morir	1	1	1
20286	quién enseñará hijos fe puta ser hijos puta	0	0	0
20287	dado cuenta podríais pintarle polla cara vampiro dormido pasaría meses	0	0	0
20289	claro q perú país benevolente apacible sabemos q aceptamos buena gana ayudar sabemos solidarizarnos claro q país pañales q preparados recibir inmigrantes q huyen sustento haber votado mal	0	0	0
20290	campo refugiados españa q gobierno santos cohones poner fin despropósito #campoderefugiados #españa	1	0	1
20291	juez reafirma orden trump reactivar programa daca jóvenes indocumentados #agendapública	0	0	0
20292	pueblos dcho libredeterminación alturas aguantar chileno indocumentado viniendo viene pretende negarme legítimo dcho libredeterminación acabose colonialismo proximidad tb acaba	1	1	1
20293	allanaron oficina thomas ex eby propia central cgr nunca dejaron entrar bilateral #yacyretaseentregó ver papeles ahora destapó escándalo corrupción van seguir igual fato feroz	0	0	0
20294	feliz cumpleaños franchute moracrema	0	0	0
20295	señor presidente robaron tapones auto afueras suburbano lechería llegué 0 0 pm combis indocumentado labios prominentes visto roba autopartes patrullas hacen hoy tocó	1	1	0
20296	único mereces comes puta bafofia parte igual dos ostias ver si espabilas	0	0	0
20297	guardia civil asumirá mando único inmigración	0	0	0
20298	escuece perro vete chuparla artur puta madre callate	0	0	0
20299	albiol deje política pueden contratar director okdiario inventarse cosas difamar da puta madre	0	0	0
20300	odiame mirarte espejo recuerda agil atractivo puta cerda tanta tonteria tanta maldad algun sitio cuerpo acumular	1	1	1
20301	#añonuevoencombate zorra callateeedd	1	1	1
20304	pelotuda deberiar juzgarte x abandononde persona hija puta mereces tener hijos ojala sigas siendo gorda pedorra	1	1	1
20306	güero fiesta jajaja problema animarlo sino después calmarlo #funweekend	0	0	0
20308	enamorada suena voz camila crown mujer arte puta madre	0	0	0
20309	arabe re temon papichamp ecko rompen retumbo nalgas twerk loco amo	0	0	0
20310	deja tuitear hija puta escucha argumentos luego vas quedar callada fujimierda carajo	1	1	1
20311	videos acreditan convence dato acosador acento peruano parece xenofobo racista aporta causa dato sino estigmatizar inmigrantes	0	0	0
20312	esposa ve cocina zorra v	1	1	1
20313	puse vestido escote mama dizque preciso hoy da vestirse zorra jajsjajs tan linda siempre	1	1	1
20314	marcha negra acelera paso 0 0 subsaharianos esperan marruecos entrar ilegalmente españa okupa monclovita pensado cobijar toda gente prepara barracas moncloa creo terreno	1	0	0
20316	ajsjsjdks mamá vino enseñar delineador perra perra perra amiga enojó wtf gabriela buen plan	1	1	1
20317	solo putos chairos ignorantes sudacas resentidos pueden idolatrar personaje tan deleznable ez inperio yanki kiere petrolio venezuela	1	0	1
20318	hermana escuchando puta bso guardianes galaxia vence star lord ronan enseñando bien	0	0	0
20319	violación acoso sexual	0	0	0
20320	puta weon hincha pelotas criticas programa panelista primer plano primer plano po weeeoon chanta	0	0	0
20321	menor empatía víctimas acoso violación defiende derecho autoinventado hombre hacer mujeres dé gana	0	0	0
20322	amamos pinche güero mierda	1	1	1
20323	cómo llorándole intentando hacerle chantaje emocional hermano mayor así cállate puta boca obedece ups escapó	0	0	0
20324	mami puso emisora canción árabe siento cualquier momento vamos explotar	1	0	1
20325	cállate hijo puta debe paliar vos	0	0	0
20326	comprado collar esposa +coño pues todavía suelta	1	0	0
20327	#niñas #niños #adolescentes pueden ser #refugiados cifras muestran enorme vulnerabilidad nna desplazamiento forzado	0	0	0
20328	acá vas club tomar si si tenes cruzar sudaca tal	0	0	0
20329	arabe temaiken amigos veo hora q pasen blv	0	0	0
20330	reencuentro puta madre disfrutalo re mereces amiga	0	0	0
20331	acordais decian lacito preferian inmigrantes subsaharianos españoles pues ala deseo concedido teneis barcelona plagada manteros	1	0	1
20332	aqui acosadores mandan dm haría hablar victima acoso violación infradotadas dejen hablar estupideces asco dan mujer	0	0	0
20333	cállate perra ven calentarme hace frío pd extraño	1	1	1
20334	onu union europea vaticano comunistas socialistas progres nwo llevan africa europa inmigrante nigeriano mata descuartiza joven italiana 0 años	1	1	0
20335	l #informateenholachile reseponsables ingreso pais tantos inmigrantes deben hacerse cargo problemas salud actualmente venido aumentar grave problema atencion medica chilenos ocupando pocas horas atencion recursos	1	0	0
20336	hombre mata mujer hijo puta mujer mata hombre tiran alagos solo ser mujer tener buen cuerpo	0	0	0
20338	ahora si parafraseando callate maldito animal pendejo viejo hijo puta arrastrado viejo pedorro mequetrefe gorrino cagada víbora prieta tepocata nueva cuenta chingada madre escoria va quitar pensión	0	0	0
20339	mira hydrox cojones inflando puta panocha cállate puto mes cabezabunque	0	0	0
20342	cuantos operarios hacen falta limpiar cocina ninguno cosa mujeres #cállateyfriega	1	0	0
20343	ute tranquila amiga oio si querés joda vida quedas callada perra hijaeputa pásame abon candesita cuale cosquillas nene	1	1	1
20344	imbéciles hdlgp alianza país trabajan dejan trabajar maldita escoria	0	0	0
20345	#españaesuna #stopue #stoplgtb inmigrantes hostales pensión completa españoles durmiendo coche	1	0	0
20346	vez arabe pidió matrimonio canadá jajajajaja 0 real 0 fake	0	0	0
20347	cállate perra	1	1	1
20348	si dicen mardita dicho si amor real perra nula así prestare tarjeta compres personalidad	1	1	0
20349	malagua celulitica puta barata	1	1	1
20350	puta maridos seguro	1	1	0
20351	demandan trump condiciones inhumanas indocumentados detenidos	0	0	0
20352	ganadora gracias mereces puta voz #finallavoz	0	0	0
20354	callate puta chorra asesina traidora ´patria	1	1	1
20355	inmigración populismo rivera casado cuatro patas pa banco	0	0	0
20356	cállate respóndeme perra	1	1	1
20357	vuelvo mencionar cabrea gilipollas hacer putas tonterías mueran animales necesidad familias pasar pasa perra pego petardazo cara hijos puta	0	0	0
20358	suficientes médicos españoles aqui españa venir sudacas aquí trabajar manda cojones	1	0	1
20359	tas trabajando perra callate	1	1	1
20360	escoria ciudad puestos ambulantes estan fijos imbéciles	0	0	0
20361	vive pistaches des arabes	0	0	0
20362	peor pérdida patria encarnando caso miles refugiados sirios campamento za atari pinturas realizadas detalle poniendo	0	0	0
20363	terrible arabe ecko amigo chabon flow	0	0	0
20364	perra dice joss stone	1	1	1
20365	perra	1	1	1
20366	gente miserable mundo luego señora parece ningún escrúpulo buscar bufete nuria vandenberghe abogada proisraelí antimusulmana fan trump denuncia 0 inmigrantes saltaron valla ceuta	0	0	0
20367	putos moros vienen quitarnos trabajo españoles ahora di inmigrante ver si encuentras trabajo si encuentras explotará algún soplapollas si español	1	0	1
20368	u callate cono perra yana	1	1	1
20369	« hijo perra supuesto haría solo bastardo merecía intentar siempre menospreciarle si golpes funcionaban intimidarlo aún manera repugnante —	0	0	0
20371	independiente merecía cagones putos si brasileros hijos puta	0	0	0
20372	btw si aún ido oportunidad vayan cantaritos güero enfiesta mami delis	0	0	0
20373	súper chido hueva quizá mismo repertorio árabe repite siempre reciclan bailes cada presentación 🤔🤔🤔	0	0	0
20374	siempre dijiste pensabas nunca atrás tenes humildad puta madre sos increíble merecias	0	0	0
20375	voy pego pene cara cabrona	1	1	1
20377	cobarde arma cree poderoso imbécil ojalá metan preso escoria humana	0	0	0
20378	harassand pepe querido merecías maltrato puta…	1	1	1
